trial_order,participant_ID,stim_id,condition,freq_category,word,subtlex_log10freq,stim_duration,start_time,end_time,key,reaction_time,accuracy,age,sex
51,12,12,rw,LF,barse,0.4771,0.5087755102040816,138.91853750002338,140.02962430001935,m,1.1110867999959737,0,32,male
52,12,191,nw,NW,darboen,0.0,0.6270748299319728,141.5679087000317,142.5939676000271,m,1.0260588999954052,1,32,male
53,12,111,nw,NW,kormel,0.0,0.4885487528344671,144.13339090003865,145.3251269000466,m,1.1917360000079498,1,32,male
54,12,195,nw,NW,pirrel,0.0,0.361156462585034,146.86555100005353,147.83820510003716,m,0.9726540999836288,1,32,male
55,12,168,nw,NW,stiraal,0.0,0.770045351473923,149.3817781000398,150.63431270001456,z,1.2525345999747517,0,32,male
56,12,56,rw,HF,hard,3.8435,0.4832879818594104,152.18115540000144,153.13543020002544,z,0.9542748000239952,1,32,male
57,12,62,rw,HF,gaf,3.923,0.5007256235827664,154.67972539999755,155.63934670004528,z,0.9596213000477292,1,32,male
58,12,68,rw,HF,soort,3.9872,0.6407256235827664,157.1790575000341,158.15709650004283,z,0.9780390000087208,1,32,male
59,12,155,nw,NW,pals,0.0,0.4868707482993197,159.69441039999947,160.48154580005212,z,0.787135400052648,0,32,male
60,12,194,nw,NW,pruit,0.0,0.6024716553287982,162.02725310000824,162.85305530001642,m,0.8258022000081837,1,32,male
61,12,98,rw,HF,had,4.9643,0.4442176870748299,164.3931300000404,165.15530840004794,z,0.7621784000075422,1,32,male
62,12,164,nw,NW,snoen,0.0,0.490702947845805,166.69248450000305,167.59416540001985,m,0.9016809000167996,1,32,male
63,12,41,rw,LF,zolders,0.7782,0.7216780045351474,169.14162250002846,169.95665670000017,z,0.8150341999717057,1,32,male
64,12,160,nw,NW,jaat,0.0,0.6258956916099774,171.50778260000516,172.58902290003607,m,1.0812403000309132,1,32,male
65,12,33,rw,LF,woei,0.699,0.3439455782312925,174.1397854000097,175.09498330001952,m,0.9551979000098072,0,32,male
66,12,25,rw,LF,ambten,0.699,0.3910430839002267,176.63917480001692,177.91498690005392,z,1.275812100037001,1,32,male
67,12,14,rw,LF,juffen,0.4771,0.4445124716553288,179.45492790004937,180.28761920001125,z,0.8326912999618798,1,32,male
68,12,32,rw,LF,suste,0.699,0.6104761904761905,181.8371714000241,182.71737320005195,z,0.8802018000278622,1,32,male
69,12,137,nw,NW,smaan,0.0,0.5507256235827664,184.26989360002332,185.38791140000103,m,1.1180177999776788,1,32,male
70,12,143,nw,NW,rakot,0.0,0.6866439909297052,186.9356944000465,188.86393110000063,z,1.928236699954141,0,32,male
71,12,102,nw,NW,labber,0.0,0.4050793650793651,190.4014364000177,191.3015590000432,m,0.9001226000254974,1,32,male
72,12,26,rw,LF,beitels,0.699,0.7305895691609977,192.85022890003165,193.96276580000995,z,1.112536899978295,1,32,male
73,12,52,rw,HF,hield,3.8191,0.5931292517006803,195.49940349999812,196.5987248000456,z,1.0993213000474498,1,32,male
74,12,162,nw,NW,gebeikt,0.0,0.8473469387755102,198.14857950003352,199.91901700000744,m,1.770437499973923,1,32,male
75,12,192,nw,NW,megen,0.0,0.484172335600907,201.4644546000054,203.33064800000284,m,1.866193399997428,1,32,male
76,12,139,nw,NW,stodeum,0.0,0.6441043083900226,204.87954950000855,206.03623650001828,m,1.156687000009697,1,32,male
77,12,154,nw,NW,gefaapt,0.0,0.8487528344671201,207.5789170000353,209.11095250002109,m,1.5320354999857957,1,32,male
78,12,150,nw,NW,knaarde,0.0,0.5770975056689343,210.66113670001505,211.97108460002343,z,1.3099479000084102,0,32,male
79,12,89,rw,HF,geweest,4.3568,0.7779138321995465,213.5098629000131,214.7019672000315,z,1.1921043000184,1,32,male
80,12,113,nw,NW,vroel,0.0,0.5116326530612245,216.2426600000472,217.22404010000173,m,0.9813800999545492,1,32,male
81,12,77,rw,HF,hen,4.158,0.3445124716553288,218.7749092000304,219.586323000025,z,0.8114137999946252,1,32,male
82,12,79,rw,HF,uur,4.1832,0.3304988662131519,221.1241162000224,221.89664950000588,z,0.7725332999834791,1,32,male
83,12,187,nw,NW,gevupt,0.0,0.6875963718820862,223.4399820000399,224.80483510001795,m,1.3648530999780633,1,32,male
84,12,105,nw,NW,jugen,0.0,0.5052607709750567,226.35571750003143,227.8475248000468,z,1.4918073000153529,0,32,male
85,12,35,rw,LF,margriet,0.7782,0.6709297052154195,229.38798660004977,230.27716200001305,z,0.8891753999632783,1,32,male
86,12,9,rw,LF,reigers,0.301,0.7401587301587301,231.82051410002168,232.8161100000143,z,0.9955958999926224,1,32,male
87,12,140,nw,NW,murselein,0.0,0.7366666666666667,234.3529653000296,235.36311730003217,z,1.010152000002563,0,32,male
88,12,198,nw,NW,snarpen,0.0,0.6049886621315193,236.90210220002336,238.01443790004123,m,1.1123357000178655,1,32,male
